Name,Gender,Age,domain,courses did,skills,certificates or course,Interested,interested career preference,intrested company,Interested Type of Books,Management or Technical,hard/smart worker,Suggested Job Role,raw_role,mapped_role
Chloe Walker,Female,32,software/technology,no,hadoop,system designing,networks,cloud computing,SAaS services,Encyclopedias,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Noah Hall,Male,35,software/technology,yes,information security,hacking,Management,Business process analyst,product development,History,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Emma Allen,Female,29,software/technology,yes,information security,database security,IOT,system developer,SAaS services,Religion-Spirituality,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Mason Young,Male,33,software/technology,no,hadoop,cloud computing,parallel computing,Business process analyst,Sales and Marketing,Cookbooks,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Harper King,Female,27,software/technology,no,information security,game development,programming,security,Web Services,Math,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Lucas Wright,Male,31,software/technology,yes,full stack,system designing,Management,system developer,BPA,Biographies,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Amelia Scott,Female,26,software/technology,no,full stack,testing,cloud computing,Business process analyst,Product based,Drama,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Oliver Green,Male,30,software/technology,no,shell programming,system designing,cloud computing,Business process analyst,Finance,Journals,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Grace Baker,Female,24,software/technology,no,information security,system designing,programming,developer,Finance,Health,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Elijah Adams,Male,28,software/technology,no,shell programming,game development,parallel computing,system developer,BPA,Anthology,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Lily Nelson,Male,29,software/technology,yes,shell programming,system designing,cloud computing,security,Sales and Marketing,Biographies,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Benjamin Carter,Female,34,software/technology,no,app development,data science,Computer Architecture,security,SAaS services,History,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Ella Mitchell,Male,27,software/technology,yes,hadoop,game development,data engineering,Business process analyst,Web Services,Diaries,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Sebastian Perez,Female,30,software/technology,yes,r programming,game development,hacking,Business process analyst,BPA,Health,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Victoria Roberts,Male,32,software/technology,no,app development,cloud computing,networks,security,product development,Self help,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Jack Turner,Female,28,software/technology,no,hadoop,game development,cloud computing,cloud computing,BPA,Science fiction,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Aria Phillips,Female,25,software/technology,no,shell programming,web tech,excellent,cloud computing,testing,yes,Science fiction,Technical,Applications Developer,Applications Developer,software_engineering
Samuel Campbell,Male,33,software/technology,no,machine learning,database security,hacking,cloud computing,Finance,Poetry,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Zoe Parker,Female,26,software/technology,yes,information security,testing,parallel computing,Business process analyst,Finance,Romance,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Adam Evans,Male,29,software/technology,no,r programming,system designing,data engineering,security,Cloud Services,Horror,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Natalie Edwards,Female,27,software/technology,no,app development,web tech,poor,Computer Architecture,testing,no,Self help,Technical,Applications Developer,Applications Developer,software_engineering
Aaron Collins,Male,31,software/technology,no,python,cloud computing,Management,system developer,BPA,Self help,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Scarlett Stewart,Female,28,software/technology,no,hadoop,cloud computing,Management,security,SAaS services,Science,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Isaiah Sanchez,Male,30,software/technology,yes,shell programming,web tech,medium,networks,security,yes,Biographies,Technical,Applications Developer,Applications Developer,software_engineering
Nora Morris,Female,25,software/technology,no,app development,hacking,cloud computing,Business process analyst,Web Services,Dictionaries,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Julian Rogers,Male,33,software/technology,yes,shell programming,data science,programming,security,BPA,Diaries,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Stella Reed,Male,27,software/technology,yes,r programming,data science,networks,cloud computing,Product based,Action and Adventure,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Owen Parker,Female,32,software/technology,yes,machine learning,cloud computing,data engineering,developer,Sales and Marketing,History,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Chase Murphy,Male,27,software/technology,yes,hadoop,system designing,Computer Architecture,cloud computing,BPA,Cookbooks,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Aiden Cooper,Female,30,software/technology,no,information security,cloud computing,parallel computing,developer,Service Based,Self help,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Zachary Reed,Female,26,software/technology,no,machine learning,hacking,hacking,Business process analyst,Finance,Satire,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Madison Flores,Male,29,software/technology,no,machine learning,system designing,hacking,testing,SAaS services,Series,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Ethan Brooks,Male,31,software/technology,yes,hadoop,web tech,excellent,programming,security,yes,Trilogy,Management,Applications Developer,Applications Developer,software_engineering
Ava Jenkins,Male,25,software/technology,no,r programming,data science,data engineering,developer,Testing and Maintainance Services,Poetry,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Lucas Powell,Male,34,software/technology,yes,shell programming,game development,networks,Business process analyst,product development,Autobiographies,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Mia Simmons,Male,27,software/technology,no,hadoop,system designing,parallel computing,system developer,Service Based,Science,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Benjamin Price,Male,32,software/technology,no,machine learning,game development,networks,system developer,Finance,Self help,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Liam King,Male,28,software/technology,yes,full stack,system designing,data engineering,security,product development,Science fiction,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Sophia Griffin,Male,29,software/technology,yes,hadoop,cloud computing,IOT,Business process analyst,Sales and Marketing,Prayer books,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Noah Wood,Male,30,software/technology,no,r programming,data science,parallel computing,developer,Product based,Travel,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Ella Ramirez,Male,26,software/technology,yes,r programming,cloud computing,IOT,developer,Finance,Biographies,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
William Simmons,Male,33,software/technology,no,hadoop,system designing,data engineering,system developer,Web Services,Comics,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Olivia Ward,Male,27,software/technology,yes,full stack,testing,hacking,Business process analyst,SAaS services,Prayer books,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Jacob Stewart,Male,31,software/technology,no,hadoop,testing,cloud computing,cloud computing,Cloud Services,Guide,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Emily Torres,Male,29,software/technology,no,hadoop,hacking,Computer Architecture,cloud computing,Finance,Comics,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Michael Watson,Male,35,software/technology,yes,information security,cloud computing,programming,security,Cloud Services,Drama,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Grace Bell,Male,24,software/technology,no,r programming,database security,programming,testing,Testing and Maintainance Services,Health,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Samuel Bailey,Male,28,software/technology,yes,full stack,hacking,cloud computing,testing,Service Based,Health,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Zoe Rivera,Male,29,software/technology,yes,machine learning,data science,cloud computing,cloud computing,Testing and Maintainance Services,Religion-Spirituality,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Henry Cooper,Male,34,software/technology,yes,r programming,testing,networks,Business process analyst,Sales and Marketing,Self help,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Chloe Richardson,Male,27,software/technology,yes,information security,web tech,medium,networks,developer,yes,Health,Management,Applications Developer,Applications Developer,software_engineering
Alexander Cox,Male,30,software/technology,yes,r programming,data science,Computer Architecture,testing,Service Based,Travel,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Victoria Ward,Female,26,software/technology,yes,python,web tech,excellent,IOT,security,no,Health,Technical,Applications Developer,Applications Developer,software_engineering
Daniel Foster,Male,28,software/technology,no,distro making,system designing,parallel computing,testing,Testing and Maintainance Services,Science,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Natalie Henderson,Female,25,software/technology,yes,app development,data science,Computer Architecture,cloud computing,Web Services,Religion-Spirituality,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Matthew Bryant,Female,31,software/technology,no,app development,cloud computing,programming,Business process analyst,Service Based,Guide,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Lily Alexander,Female,28,software/technology,yes,r programming,game development,Software Engineering,system developer,product development,Science,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Logan Carter,Female,30,software/technology,yes,python,data science,Management,testing,SAaS services,Dictionaries,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Amelia Morris,Male,27,software/technology,yes,shell programming,data science,Computer Architecture,cloud computing,Finance,Self help,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Jackson Perez,Male,29,software/technology,no,distro making,game development,hacking,system developer,Finance,Guide,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Avery Hughes,Female,32,software/technology,yes,shell programming,system designing,cloud computing,developer,Sales and Marketing,Comics,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Sebastian Flores,Male,35,software/technology,no,r programming,web tech,poor,networks,cloud computing,no,Drama,Technical,Applications Developer,Applications Developer,software_engineering
Harper Hughes,Male,29,software/technology,yes,python,game development,Management,Business process analyst,BPA,Journals,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Owen Long,Female,33,software/technology,yes,app development,data science,data engineering,security,Web Services,History,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Scarlett Foster,Male,27,software/technology,yes,shell programming,system designing,Computer Architecture,system developer,Testing and Maintainance Services,Autobiographies,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Gabriel Price,Female,30,software/technology,yes,shell programming,testing,hacking,cloud computing,Testing and Maintainance Services,Autobiographies,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Chase Bennett,Male,28,software/technology,no,r programming,database security,networks,security,Web Services,Trilogy,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Samantha Ross,Female,32,software/technology,no,hadoop,web tech,medium,Management,cloud computing,no,Math,Management,Applications Developer,Applications Developer,software_engineering
Nathan Rogers,Male,30,software/technology,no,information security,game development,Computer Architecture,cloud computing,Cloud Services,Journals,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Aiden Reed,Female,26,software/technology,yes,shell programming,system designing,hacking,developer,Finance,Dictionaries,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Sofia Brooks,Male,28,software/technology,no,app development,cloud computing,Computer Architecture,developer,Service Based,Trilogy,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Elijah Coleman,Female,35,software/technology,no,machine learning,testing,networks,testing,Sales and Marketing,Fantasy,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Ava Henderson,Male,29,software/technology,yes,machine learning,data science,Software Engineering,system developer,Service Based,Cookbooks,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Caleb Perry,Female,27,software/technology,no,app development,game development,Software Engineering,security,Product based,Guide,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Zoey Patterson,Male,31,software/technology,yes,shell programming,testing,data engineering,Business process analyst,Service Based,Childrens,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Isaac Bailey,Female,40,software/technology,yes,machine learning,cloud computing,Computer Architecture,testing,Sales and Marketing,Dictionaries,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Evelyn Coleman,Male,22,software/technology,yes,python,system designing,data engineering,security,BPA,Art,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Megan Fisher,Female,23,software/technology,no,machine learning,game development,parallel computing,developer,Cloud Services,Childrens,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Evan Ramirez,Male,24,software/technology,no,hadoop,web tech,excellent,Software Engineering,testing,yes,Childrens,Management,Applications Developer,Applications Developer,software_engineering
Landon Carter,Female,25,software/technology,yes,python,hacking,cloud computing,system developer,Cloud Services,Cookbooks,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Hannah Rivera,Male,26,software/technology,yes,shell programming,hacking,programming,system developer,Testing and Maintainance Services,Science,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Connor Brooks,Male,27,software/technology,no,full stack,system designing,Software Engineering,developer,Service Based,Health,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Aaliyah Perry,Female,28,software/technology,yes,r programming,database security,programming,system developer,Product based,Poetry,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Brandon Hayes,Male,29,software/technology,no,full stack,testing,networks,developer,product development,Self help,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Sydney Coleman,Female,30,software/technology,no,information security,cloud computing,IOT,developer,Web Services,Health,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Dylan Bennett,Male,31,software/technology,no,full stack,game development,Computer Architecture,system developer,product development,Horror,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Avery Sanders,Female,32,software/technology,yes,distro making,cloud computing,parallel computing,testing,SAaS services,Satire,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Chase Morgan,Male,33,software/technology,no,app development,hacking,Computer Architecture,security,product development,Anthology,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Sienna Price,Female,34,software/technology,no,shell programming,cloud computing,parallel computing,cloud computing,Testing and Maintainance Services,Self help,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Hunter Patterson,Male,35,software/technology,yes,information security,web tech,excellent,parallel computing,Business process analyst,yes,History,Technical,Applications Developer,Applications Developer,software_engineering
Riley Murphy,Female,36,software/technology,yes,app development,game development,parallel computing,testing,product development,Satire,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Madeline Jenkins,Male,37,software/technology,no,shell programming,game development,hacking,Business process analyst,Product based,Action and Adventure,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Adrian Collins,Female,38,software/technology,no,distro making,cloud computing,programming,Business process analyst,BPA,Fantasy,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Sophie Gray,Male,39,software/technology,no,distro making,database security,networks,security,SAaS services,Health,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Jordan Long,Female,40,software/technology,yes,hadoop,system designing,cloud computing,security,Testing and Maintainance Services,Health,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Brianna Foster,Male,41,software/technology,yes,full stack,data science,Computer Architecture,developer,Finance,Romance,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Zane Powell,Female,22,software/technology,no,app development,testing,parallel computing,cloud computing,Product based,Romance,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Molly Jenkins,Male,23,software/technology,no,app development,web tech,medium,networks,cloud computing,no,Drama,Technical,Applications Developer,Applications Developer,software_engineering
Austin Rivera,Female,24,software/technology,no,python,database security,cloud computing,system developer,Finance,Biographies,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Paige Rogers,Male,25,software/technology,no,shell programming,data science,Management,cloud computing,Sales and Marketing,Horror,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Cole Barnes,Female,26,software/technology,yes,shell programming,hacking,programming,cloud computing,Finance,Health,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Leah Butler,Male,27,software/technology,yes,full stack,database security,networks,cloud computing,BPA,Science,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Carter Brooks,Female,28,software/technology,no,machine learning,game development,parallel computing,Business process analyst,Testing and Maintainance Services,Diaries,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Eleanor Morris,Male,29,software/technology,yes,full stack,hacking,Software Engineering,security,Finance,Autobiographies,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Miles Rogers,Female,30,software/technology,no,shell programming,database security,Management,testing,Product based,Self help,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Lucy Howard,Male,31,software/technology,yes,r programming,data science,hacking,cloud computing,Web Services,Series,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Hunter Price,Female,32,software/technology,no,shell programming,database security,Computer Architecture,security,Testing and Maintainance Services,Poetry,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Naomi Wright,Male,23,software/technology,no,shell programming,web tech,excellent,cloud computing,system developer,no,Mystery,Technical,Applications Developer,Applications Developer,software_engineering
Brandon Wood,Female,34,software/technology,yes,shell programming,system designing,cloud computing,security,Cloud Services,Science fiction,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Autumn Baker,Male,35,software/technology,no,python,system designing,parallel computing,developer,Product based,Prayer books,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Grayson James,Male,36,software/technology,no,machine learning,web tech,excellent,programming,testing,no,Series,Technical,Applications Developer,Applications Developer,software_engineering
Mackenzie Perry,Female,37,software/technology,yes,hadoop,game development,cloud computing,Business process analyst,Product based,Travel,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Jason Simmons,Male,38,software/technology,yes,python,testing,hacking,security,Product based,Horror,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Elena Coleman,Female,39,software/technology,no,r programming,database security,hacking,developer,SAaS services,Series,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Tyler Carter,Male,40,software/technology,no,shell programming,hacking,IOT,cloud computing,Finance,Cookbooks,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Ruby Mitchell,Female,41,software/technology,no,shell programming,testing,Management,cloud computing,Testing and Maintainance Services,Trilogy,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Declan Adams,Male,22,software/technology,no,python,web tech,poor,IOT,developer,yes,Religion-Spirituality,Technical,Applications Developer,Applications Developer,software_engineering
Lydia Edwards,Female,23,software/technology,yes,information security,data science,Computer Architecture,system developer,Finance,Horror,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Eric Hughes,Male,24,software/technology,no,shell programming,system designing,IOT,Business process analyst,BPA,Biographies,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Melanie Nelson,Female,25,software/technology,yes,distro making,web tech,medium,Management,developer,yes,Trilogy,Management,Applications Developer,Applications Developer,software_engineering
Julian Wright,Male,26,software/technology,yes,full stack,testing,programming,cloud computing,Product based,Biographies,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Arianna Brooks,Female,27,software/technology,no,distro making,data science,Management,cloud computing,product development,Health,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Cooper Bell,Female,28,software/technology,no,machine learning,database security,IOT,cloud computing,product development,Science fiction,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Faith Parker,Male,29,software/technology,no,app development,web tech,poor,cloud computing,developer,yes,Mystery,Management,Applications Developer,Applications Developer,software_engineering
Maximillian Reed,Female,30,software/technology,no,shell programming,testing,parallel computing,developer,Web Services,Mystery,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Sadie Turner,Male,31,software/technology,yes,distro making,hacking,hacking,developer,Service Based,Anthology,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Jaxon Carter,Female,32,software/technology,yes,shell programming,game development,parallel computing,system developer,Finance,Health,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Isabel Rivera,Male,23,software/technology,no,hadoop,data science,IOT,cloud computing,Web Services,Health,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Carson Flores,Female,24,software/technology,no,shell programming,game development,IOT,Business process analyst,Service Based,Action and Adventure,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Katherine Collins,Male,25,software/technology,no,r programming,data science,Computer Architecture,developer,Sales and Marketing,Guide,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Leo Morgan,Female,26,software/technology,no,r programming,database security,hacking,security,BPA,Diaries,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Ariella Perry,Male,37,software/technology,no,machine learning,game development,networks,testing,Service Based,Cookbooks,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Ryder Murphy,Male,38,software/technology,no,shell programming,cloud computing,cloud computing,security,Finance,Biographies,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Elise Bennett,Female,39,software/technology,no,hadoop,testing,Computer Architecture,system developer,Web Services,Drama,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Cameron Reed,Male,40,software/technology,yes,distro making,web tech,medium,programming,cloud computing,yes,Math,Management,Applications Developer,Applications Developer,software_engineering
Jasmine Edwards,Female,41,software/technology,no,hadoop,system designing,Management,system developer,SAaS services,Guide,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Parker Jenkins,Male,22,software/technology,yes,hadoop,game development,Computer Architecture,Business process analyst,Cloud Services,Romance,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Nicole Hughes,Female,23,software/technology,no,hadoop,game development,parallel computing,testing,Finance,Biographies,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Brady Price,Male,24,software/technology,no,shell programming,game development,programming,system developer,Web Services,Poetry,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Clara Ross,Female,25,software/technology,no,shell programming,system designing,programming,system developer,product development,Romance,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Silas Murphy,Male,26,software/technology,no,app development,data science,Software Engineering,cloud computing,Cloud Services,Guide,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Paisley Rogers,Female,27,software/technology,yes,distro making,cloud computing,Management,testing,Finance,Guide,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Miles Foster,Female,28,software/technology,yes,hadoop,hacking,parallel computing,developer,SAaS services,Encyclopedias,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Jade Wood,Male,29,software/technology,yes,machine learning,web tech,medium,parallel computing,Business process analyst,yes,Math,Management,Applications Developer,Applications Developer,software_engineering
Weston Perry,Female,30,software/technology,yes,machine learning,hacking,Computer Architecture,developer,Sales and Marketing,Religion-Spirituality,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Aubrey Jenkins,Male,31,software/technology,no,machine learning,cloud computing,programming,developer,Cloud Services,Autobiographies,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Harrison Collins,Female,32,software/technology,yes,python,cloud computing,cloud computing,Business process analyst,BPA,Dictionaries,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Luna Gray,Male,33,software/technology,yes,full stack,hacking,cloud computing,Business process analyst,Cloud Services,Encyclopedias,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Gavin Long,Female,34,software/technology,yes,python,hacking,programming,testing,Service Based,Biographies,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Penelope Foster,Male,35,software/technology,no,full stack,testing,cloud computing,system developer,Web Services,Math,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Austin Powell,Female,36,software/technology,yes,shell programming,data science,programming,security,Product based,Fantasy,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Vivian Butler,Male,37,software/technology,yes,distro making,data science,programming,Business process analyst,Testing and Maintainance Services,Mystery,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Xavier Barnes,Male,38,software/technology,no,machine learning,data science,Management,Business process analyst,Sales and Marketing,Trilogy,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Stella James,Female,39,software/technology,yes,full stack,system designing,Computer Architecture,testing,Web Services,Cookbooks,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Caden Morgan,Male,40,software/technology,yes,information security,database security,cloud computing,testing,Testing and Maintainance Services,Horror,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Maya Ross,Female,41,software/technology,yes,information security,game development,Management,Business process analyst,Product based,Romance,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Jace Reed,Male,22,software/technology,no,information security,hacking,IOT,system developer,Testing and Maintainance Services,Romance,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Kendall Rivera,other,23,software/technology,yes,python,system designing,data engineering,system developer,SAaS services,Mystery,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
