Name,Gender,Age,domain,courses did,skills,certificates or course,Interested,interested career preference,intrested company,Interested Type of Books,Management or Technical,hard/smart worker,Suggested Job Role,skills_norm
Benjamin Carter,Female,34,software/technology,no,app development,data science,Computer Architecture,security,SAaS services,History,Management,hard worker,Applications Developer,ios app development
Ella Mitchell,Male,27,software/technology,yes,hadoop,game development,data engineering,Business process analyst,Web Services,Diaries,Management,smart worker,Applications Developer,hadoop
Sebastian Perez,Female,30,software/technology,yes,r programming,game development,hacking,Business process analyst,BPA,Health,Management,hard worker,Applications Developer,programming
Victoria Roberts,Male,32,software/technology,no,app development,cloud computing,networks,security,product development,Self help,Management,hard worker,Applications Developer,ios app development
Jack Turner,Female,28,software/technology,no,hadoop,game development,cloud computing,cloud computing,BPA,Science fiction,Technical,smart worker,Applications Developer,hadoop
Aria Phillips,Female,25,software/technology,no,shell programming,web tech,excellent,cloud computing,testing,yes,Science fiction,Technical,Applications Developer,shell programming
Samuel Campbell,Male,33,software/technology,no,machine learning,database security,hacking,cloud computing,Finance,Poetry,Management,smart worker,Applications Developer,machine learning
Zoe Parker,Female,26,software/technology,yes,information security,testing,parallel computing,Business process analyst,Finance,Romance,Technical,smart worker,Applications Developer,information security
Adam Evans,Male,29,software/technology,no,r programming,system designing,data engineering,security,Cloud Services,Horror,Technical,hard worker,Applications Developer,programming
Natalie Edwards,Female,27,software/technology,no,app development,web tech,poor,Computer Architecture,testing,no,Self help,Technical,Applications Developer,ios app development
Aaron Collins,Male,31,software/technology,no,python,cloud computing,Management,system developer,BPA,Self help,Management,hard worker,Applications Developer,python
Scarlett Stewart,Female,28,software/technology,no,hadoop,cloud computing,Management,security,SAaS services,Science,Technical,hard worker,Applications Developer,hadoop
Isaiah Sanchez,Male,30,software/technology,yes,shell programming,web tech,medium,networks,security,yes,Biographies,Technical,Applications Developer,shell programming
Nora Morris,Female,25,software/technology,no,app development,hacking,cloud computing,Business process analyst,Web Services,Dictionaries,Management,hard worker,Applications Developer,ios app development
Julian Rogers,Male,33,software/technology,yes,shell programming,data science,programming,security,BPA,Diaries,Technical,hard worker,Applications Developer,shell programming
Stella Reed,Male,27,software/technology,yes,r programming,data science,networks,cloud computing,Product based,Action and Adventure,Management,smart worker,Applications Developer,programming
Owen Parker,Female,32,software/technology,yes,machine learning,cloud computing,data engineering,developer,Sales and Marketing,History,Technical,smart worker,Applications Developer,machine learning
Chase Murphy,Male,27,software/technology,yes,hadoop,system designing,Computer Architecture,cloud computing,BPA,Cookbooks,Management,hard worker,Applications Developer,hadoop
Aiden Cooper,Female,30,software/technology,no,information security,cloud computing,parallel computing,developer,Service Based,Self help,Management,hard worker,Applications Developer,information security
Zachary Reed,Female,26,software/technology,no,machine learning,hacking,hacking,Business process analyst,Finance,Satire,Management,hard worker,Applications Developer,machine learning
Madison Flores,Male,29,software/technology,no,machine learning,system designing,hacking,testing,SAaS services,Series,Technical,hard worker,Applications Developer,machine learning
Ethan Brooks,Male,31,software/technology,yes,hadoop,web tech,excellent,programming,security,yes,Trilogy,Management,Applications Developer,hadoop
Ava Jenkins,Male,25,software/technology,no,r programming,data science,data engineering,developer,Testing and Maintainance Services,Poetry,Technical,smart worker,Applications Developer,programming
Lucas Powell,Male,34,software/technology,yes,shell programming,game development,networks,Business process analyst,product development,Autobiographies,Management,smart worker,Applications Developer,shell programming
Mia Simmons,Male,27,software/technology,no,hadoop,system designing,parallel computing,system developer,Service Based,Science,Technical,hard worker,Applications Developer,hadoop
Benjamin Price,Male,32,software/technology,no,machine learning,game development,networks,system developer,Finance,Self help,Management,smart worker,Applications Developer,machine learning
Liam King,Male,28,software/technology,yes,full stack,system designing,data engineering,security,product development,Science fiction,Technical,hard worker,Applications Developer,full stack
Sophia Griffin,Male,29,software/technology,yes,hadoop,cloud computing,IOT,Business process analyst,Sales and Marketing,Prayer books,Technical,hard worker,Applications Developer,hadoop
Noah Wood,Male,30,software/technology,no,r programming,data science,parallel computing,developer,Product based,Travel,Management,smart worker,Applications Developer,programming
Ella Ramirez,Male,26,software/technology,yes,r programming,cloud computing,IOT,developer,Finance,Biographies,Technical,smart worker,Applications Developer,programming
William Simmons,Male,33,software/technology,no,hadoop,system designing,data engineering,system developer,Web Services,Comics,Technical,smart worker,Applications Developer,hadoop
Olivia Ward,Male,27,software/technology,yes,full stack,testing,hacking,Business process analyst,SAaS services,Prayer books,Technical,hard worker,Applications Developer,full stack
Jacob Stewart,Male,31,software/technology,no,hadoop,testing,cloud computing,cloud computing,Cloud Services,Guide,Management,hard worker,Applications Developer,hadoop
Emily Torres,Male,29,software/technology,no,hadoop,hacking,Computer Architecture,cloud computing,Finance,Comics,Technical,hard worker,Applications Developer,hadoop
Michael Watson,Male,35,software/technology,yes,information security,cloud computing,programming,security,Cloud Services,Drama,Management,smart worker,Applications Developer,information security
Grace Bell,Male,24,software/technology,no,r programming,database security,programming,testing,Testing and Maintainance Services,Health,Technical,hard worker,Applications Developer,programming
Samuel Bailey,Male,28,software/technology,yes,full stack,hacking,cloud computing,testing,Service Based,Health,Management,smart worker,Applications Developer,full stack
Zoe Rivera,Male,29,software/technology,yes,machine learning,data science,cloud computing,cloud computing,Testing and Maintainance Services,Religion-Spirituality,Management,smart worker,Applications Developer,machine learning
Henry Cooper,Male,34,software/technology,yes,r programming,testing,networks,Business process analyst,Sales and Marketing,Self help,Technical,smart worker,Applications Developer,programming
Chloe Richardson,Male,27,software/technology,yes,information security,web tech,medium,networks,developer,yes,Health,Management,Applications Developer,information security
Alexander Cox,Male,30,software/technology,yes,r programming,data science,Computer Architecture,testing,Service Based,Travel,Management,hard worker,Applications Developer,programming
Victoria Ward,Female,26,software/technology,yes,python,web tech,excellent,IOT,security,no,Health,Technical,Applications Developer,python
Daniel Foster,Male,28,software/technology,no,distro making,system designing,parallel computing,testing,Testing and Maintainance Services,Science,Management,smart worker,Applications Developer,distro making
Natalie Henderson,Female,25,software/technology,yes,app development,data science,Computer Architecture,cloud computing,Web Services,Religion-Spirituality,Management,smart worker,Applications Developer,ios app development
Matthew Bryant,Female,31,software/technology,no,app development,cloud computing,programming,Business process analyst,Service Based,Guide,Management,hard worker,Applications Developer,ios app development
Lily Alexander,Female,28,software/technology,yes,r programming,game development,Software Engineering,system developer,product development,Science,Management,hard worker,Applications Developer,programming
Logan Carter,Female,30,software/technology,yes,python,data science,Management,testing,SAaS services,Dictionaries,Technical,hard worker,Applications Developer,python
Amelia Morris,Male,27,software/technology,yes,shell programming,data science,Computer Architecture,cloud computing,Finance,Self help,Management,hard worker,Applications Developer,shell programming
Jackson Perez,Male,29,software/technology,no,distro making,game development,hacking,system developer,Finance,Guide,Management,hard worker,Applications Developer,distro making
Avery Hughes,Female,32,software/technology,yes,shell programming,system designing,cloud computing,developer,Sales and Marketing,Comics,Technical,smart worker,Applications Developer,shell programming
Sebastian Flores,Male,35,software/technology,no,r programming,web tech,poor,networks,cloud computing,no,Drama,Technical,Applications Developer,programming
Harper Hughes,Male,29,software/technology,yes,python,game development,Management,Business process analyst,BPA,Journals,Management,hard worker,Applications Developer,python
Owen Long,Female,33,software/technology,yes,app development,data science,data engineering,security,Web Services,History,Technical,smart worker,Applications Developer,ios app development
Scarlett Foster,Male,27,software/technology,yes,shell programming,system designing,Computer Architecture,system developer,Testing and Maintainance Services,Autobiographies,Management,smart worker,Applications Developer,shell programming
Gabriel Price,Female,30,software/technology,yes,shell programming,testing,hacking,cloud computing,Testing and Maintainance Services,Autobiographies,Technical,smart worker,Applications Developer,shell programming
Chase Bennett,Male,28,software/technology,no,r programming,database security,networks,security,Web Services,Trilogy,Technical,smart worker,Applications Developer,programming
Samantha Ross,Female,32,software/technology,no,hadoop,web tech,medium,Management,cloud computing,no,Math,Management,Applications Developer,hadoop
Nathan Rogers,Male,30,software/technology,no,information security,game development,Computer Architecture,cloud computing,Cloud Services,Journals,Technical,hard worker,Applications Developer,information security
Aiden Reed,Female,26,software/technology,yes,shell programming,system designing,hacking,developer,Finance,Dictionaries,Technical,hard worker,Applications Developer,shell programming
Sofia Brooks,Male,28,software/technology,no,app development,cloud computing,Computer Architecture,developer,Service Based,Trilogy,Technical,smart worker,Applications Developer,ios app development
Elijah Coleman,Female,35,software/technology,no,machine learning,testing,networks,testing,Sales and Marketing,Fantasy,Management,smart worker,Applications Developer,machine learning
Ava Henderson,Male,29,software/technology,yes,machine learning,data science,Software Engineering,system developer,Service Based,Cookbooks,Management,hard worker,Applications Developer,machine learning
Caleb Perry,Female,27,software/technology,no,app development,game development,Software Engineering,security,Product based,Guide,Technical,smart worker,Applications Developer,ios app development
Zoey Patterson,Male,31,software/technology,yes,shell programming,testing,data engineering,Business process analyst,Service Based,Childrens,Management,hard worker,Applications Developer,shell programming
Isaac Bailey,Female,40,software/technology,yes,machine learning,cloud computing,Computer Architecture,testing,Sales and Marketing,Dictionaries,Management,hard worker,Applications Developer,machine learning
Evelyn Coleman,Male,22,software/technology,yes,python,system designing,data engineering,security,BPA,Art,Technical,hard worker,Applications Developer,python
Megan Fisher,Female,23,software/technology,no,machine learning,game development,parallel computing,developer,Cloud Services,Childrens,Technical,smart worker,Applications Developer,machine learning
Evan Ramirez,Male,24,software/technology,no,hadoop,web tech,excellent,Software Engineering,testing,yes,Childrens,Management,Applications Developer,hadoop
Landon Carter,Female,25,software/technology,yes,python,hacking,cloud computing,system developer,Cloud Services,Cookbooks,Management,hard worker,Applications Developer,python
Hannah Rivera,Male,26,software/technology,yes,shell programming,hacking,programming,system developer,Testing and Maintainance Services,Science,Technical,smart worker,Applications Developer,shell programming
Connor Brooks,Male,27,software/technology,no,full stack,system designing,Software Engineering,developer,Service Based,Health,Management,hard worker,Applications Developer,full stack
Aaliyah Perry,Female,28,software/technology,yes,r programming,database security,programming,system developer,Product based,Poetry,Management,smart worker,Applications Developer,programming
Brandon Hayes,Male,29,software/technology,no,full stack,testing,networks,developer,product development,Self help,Management,smart worker,Applications Developer,full stack
Sydney Coleman,Female,30,software/technology,no,information security,cloud computing,IOT,developer,Web Services,Health,Management,hard worker,Applications Developer,information security
Dylan Bennett,Male,31,software/technology,no,full stack,game development,Computer Architecture,system developer,product development,Horror,Technical,smart worker,Applications Developer,full stack
Avery Sanders,Female,32,software/technology,yes,distro making,cloud computing,parallel computing,testing,SAaS services,Satire,Technical,smart worker,Applications Developer,distro making
Chase Morgan,Male,33,software/technology,no,app development,hacking,Computer Architecture,security,product development,Anthology,Management,hard worker,Applications Developer,ios app development
Sienna Price,Female,34,software/technology,no,shell programming,cloud computing,parallel computing,cloud computing,Testing and Maintainance Services,Self help,Technical,hard worker,Applications Developer,shell programming
Hunter Patterson,Male,35,software/technology,yes,information security,web tech,excellent,parallel computing,Business process analyst,yes,History,Technical,Applications Developer,information security
Riley Murphy,Female,36,software/technology,yes,app development,game development,parallel computing,testing,product development,Satire,Technical,hard worker,Applications Developer,ios app development
Madeline Jenkins,Male,37,software/technology,no,shell programming,game development,hacking,Business process analyst,Product based,Action and Adventure,Management,smart worker,Applications Developer,shell programming
Adrian Collins,Female,38,software/technology,no,distro making,cloud computing,programming,Business process analyst,BPA,Fantasy,Technical,smart worker,Applications Developer,distro making
Sophie Gray,Male,39,software/technology,no,distro making,database security,networks,security,SAaS services,Health,Management,smart worker,Applications Developer,distro making
Jordan Long,Female,40,software/technology,yes,hadoop,system designing,cloud computing,security,Testing and Maintainance Services,Health,Management,hard worker,Applications Developer,hadoop
Brianna Foster,Male,41,software/technology,yes,full stack,data science,Computer Architecture,developer,Finance,Romance,Management,hard worker,Applications Developer,full stack
Zane Powell,Female,22,software/technology,no,app development,testing,parallel computing,cloud computing,Product based,Romance,Management,smart worker,Applications Developer,ios app development
Molly Jenkins,Male,23,software/technology,no,app development,web tech,medium,networks,cloud computing,no,Drama,Technical,Applications Developer,ios app development
Austin Rivera,Female,24,software/technology,no,python,database security,cloud computing,system developer,Finance,Biographies,Technical,hard worker,Applications Developer,python
Paige Rogers,Male,25,software/technology,no,shell programming,data science,Management,cloud computing,Sales and Marketing,Horror,Management,hard worker,Applications Developer,shell programming
Cole Barnes,Female,26,software/technology,yes,shell programming,hacking,programming,cloud computing,Finance,Health,Technical,hard worker,Applications Developer,shell programming
Leah Butler,Male,27,software/technology,yes,full stack,database security,networks,cloud computing,BPA,Science,Management,smart worker,Applications Developer,full stack
Carter Brooks,Female,28,software/technology,no,machine learning,game development,parallel computing,Business process analyst,Testing and Maintainance Services,Diaries,Management,hard worker,Applications Developer,machine learning
Eleanor Morris,Male,29,software/technology,yes,full stack,hacking,Software Engineering,security,Finance,Autobiographies,Technical,hard worker,Applications Developer,full stack
Miles Rogers,Female,30,software/technology,no,shell programming,database security,Management,testing,Product based,Self help,Technical,hard worker,Applications Developer,shell programming
Lucy Howard,Male,31,software/technology,yes,r programming,data science,hacking,cloud computing,Web Services,Series,Management,smart worker,Applications Developer,programming
Hunter Price,Female,32,software/technology,no,shell programming,database security,Computer Architecture,security,Testing and Maintainance Services,Poetry,Technical,hard worker,Applications Developer,shell programming
Naomi Wright,Male,23,software/technology,no,shell programming,web tech,excellent,cloud computing,system developer,no,Mystery,Technical,Applications Developer,shell programming
Brandon Wood,Female,34,software/technology,yes,shell programming,system designing,cloud computing,security,Cloud Services,Science fiction,Management,smart worker,Applications Developer,shell programming
Autumn Baker,Male,35,software/technology,no,python,system designing,parallel computing,developer,Product based,Prayer books,Technical,hard worker,Applications Developer,python
Grayson James,Male,36,software/technology,no,machine learning,web tech,excellent,programming,testing,no,Series,Technical,Applications Developer,machine learning
Mackenzie Perry,Female,37,software/technology,yes,hadoop,game development,cloud computing,Business process analyst,Product based,Travel,Management,hard worker,Applications Developer,hadoop
Jason Simmons,Male,38,software/technology,yes,python,testing,hacking,security,Product based,Horror,Management,smart worker,Applications Developer,python
Elena Coleman,Female,39,software/technology,no,r programming,database security,hacking,developer,SAaS services,Series,Technical,smart worker,Applications Developer,programming
Tyler Carter,Male,40,software/technology,no,shell programming,hacking,IOT,cloud computing,Finance,Cookbooks,Management,smart worker,Applications Developer,shell programming
Ruby Mitchell,Female,41,software/technology,no,shell programming,testing,Management,cloud computing,Testing and Maintainance Services,Trilogy,Management,smart worker,Applications Developer,shell programming
Declan Adams,Male,22,software/technology,no,python,web tech,poor,IOT,developer,yes,Religion-Spirituality,Technical,Applications Developer,python
Lydia Edwards,Female,23,software/technology,yes,information security,data science,Computer Architecture,system developer,Finance,Horror,Technical,smart worker,Applications Developer,information security
Eric Hughes,Male,24,software/technology,no,shell programming,system designing,IOT,Business process analyst,BPA,Biographies,Technical,hard worker,Applications Developer,shell programming
Melanie Nelson,Female,25,software/technology,yes,distro making,web tech,medium,Management,developer,yes,Trilogy,Management,Applications Developer,distro making
Julian Wright,Male,26,software/technology,yes,full stack,testing,programming,cloud computing,Product based,Biographies,Technical,smart worker,Applications Developer,full stack
Arianna Brooks,Female,27,software/technology,no,distro making,data science,Management,cloud computing,product development,Health,Management,smart worker,Applications Developer,distro making
Cooper Bell,Female,28,software/technology,no,machine learning,database security,IOT,cloud computing,product development,Science fiction,Technical,hard worker,Applications Developer,machine learning
Faith Parker,Male,29,software/technology,no,app development,web tech,poor,cloud computing,developer,yes,Mystery,Management,Applications Developer,ios app development
Maximillian Reed,Female,30,software/technology,no,shell programming,testing,parallel computing,developer,Web Services,Mystery,Technical,smart worker,Applications Developer,shell programming
Sadie Turner,Male,31,software/technology,yes,distro making,hacking,hacking,developer,Service Based,Anthology,Management,hard worker,Applications Developer,distro making
Jaxon Carter,Female,32,software/technology,yes,shell programming,game development,parallel computing,system developer,Finance,Health,Management,hard worker,Applications Developer,shell programming
Isabel Rivera,Male,23,software/technology,no,hadoop,data science,IOT,cloud computing,Web Services,Health,Technical,smart worker,Applications Developer,hadoop
Carson Flores,Female,24,software/technology,no,shell programming,game development,IOT,Business process analyst,Service Based,Action and Adventure,Management,hard worker,Applications Developer,shell programming
Katherine Collins,Male,25,software/technology,no,r programming,data science,Computer Architecture,developer,Sales and Marketing,Guide,Technical,hard worker,Applications Developer,programming
Leo Morgan,Female,26,software/technology,no,r programming,database security,hacking,security,BPA,Diaries,Technical,hard worker,Applications Developer,programming
Ariella Perry,Male,37,software/technology,no,machine learning,game development,networks,testing,Service Based,Cookbooks,Technical,smart worker,Applications Developer,machine learning
Ryder Murphy,Male,38,software/technology,no,shell programming,cloud computing,cloud computing,security,Finance,Biographies,Management,smart worker,Applications Developer,shell programming
Elise Bennett,Female,39,software/technology,no,hadoop,testing,Computer Architecture,system developer,Web Services,Drama,Technical,hard worker,Applications Developer,hadoop
Cameron Reed,Male,40,software/technology,yes,distro making,web tech,medium,programming,cloud computing,yes,Math,Management,Applications Developer,distro making
Jasmine Edwards,Female,41,software/technology,no,hadoop,system designing,Management,system developer,SAaS services,Guide,Technical,smart worker,Applications Developer,hadoop
Parker Jenkins,Male,22,software/technology,yes,hadoop,game development,Computer Architecture,Business process analyst,Cloud Services,Romance,Management,smart worker,Applications Developer,hadoop
Nicole Hughes,Female,23,software/technology,no,hadoop,game development,parallel computing,testing,Finance,Biographies,Technical,hard worker,Applications Developer,hadoop
Brady Price,Male,24,software/technology,no,shell programming,game development,programming,system developer,Web Services,Poetry,Technical,hard worker,Applications Developer,shell programming
Clara Ross,Female,25,software/technology,no,shell programming,system designing,programming,system developer,product development,Romance,Management,hard worker,Applications Developer,shell programming
Silas Murphy,Male,26,software/technology,no,app development,data science,Software Engineering,cloud computing,Cloud Services,Guide,Technical,smart worker,Applications Developer,ios app development
Paisley Rogers,Female,27,software/technology,yes,distro making,cloud computing,Management,testing,Finance,Guide,Technical,hard worker,Applications Developer,distro making
Miles Foster,Female,28,software/technology,yes,hadoop,hacking,parallel computing,developer,SAaS services,Encyclopedias,Technical,hard worker,Applications Developer,hadoop
Jade Wood,Male,29,software/technology,yes,machine learning,web tech,medium,parallel computing,Business process analyst,yes,Math,Management,Applications Developer,machine learning
Weston Perry,Female,30,software/technology,yes,machine learning,hacking,Computer Architecture,developer,Sales and Marketing,Religion-Spirituality,Management,smart worker,Applications Developer,machine learning
Aubrey Jenkins,Male,31,software/technology,no,machine learning,cloud computing,programming,developer,Cloud Services,Autobiographies,Technical,smart worker,Applications Developer,machine learning
Harrison Collins,Female,32,software/technology,yes,python,cloud computing,cloud computing,Business process analyst,BPA,Dictionaries,Technical,smart worker,Applications Developer,python
Luna Gray,Male,33,software/technology,yes,full stack,hacking,cloud computing,Business process analyst,Cloud Services,Encyclopedias,Management,smart worker,Applications Developer,full stack
Gavin Long,Female,34,software/technology,yes,python,hacking,programming,testing,Service Based,Biographies,Management,smart worker,Applications Developer,python
Penelope Foster,Male,35,software/technology,no,full stack,testing,cloud computing,system developer,Web Services,Math,Management,smart worker,Applications Developer,full stack
Austin Powell,Female,36,software/technology,yes,shell programming,data science,programming,security,Product based,Fantasy,Management,smart worker,Applications Developer,shell programming
Vivian Butler,Male,37,software/technology,yes,distro making,data science,programming,Business process analyst,Testing and Maintainance Services,Mystery,Technical,smart worker,Applications Developer,distro making
Xavier Barnes,Male,38,software/technology,no,machine learning,data science,Management,Business process analyst,Sales and Marketing,Trilogy,Technical,smart worker,Applications Developer,machine learning
Stella James,Female,39,software/technology,yes,full stack,system designing,Computer Architecture,testing,Web Services,Cookbooks,Technical,hard worker,Applications Developer,full stack
Caden Morgan,Male,40,software/technology,yes,information security,database security,cloud computing,testing,Testing and Maintainance Services,Horror,Management,hard worker,Applications Developer,information security
Maya Ross,Female,41,software/technology,yes,information security,game development,Management,Business process analyst,Product based,Romance,Technical,hard worker,Applications Developer,information security
Jace Reed,Male,22,software/technology,no,information security,hacking,IOT,system developer,Testing and Maintainance Services,Romance,Management,smart worker,Applications Developer,information security
Kendall Rivera,other,23,software/technology,yes,python,system designing,data engineering,system developer,SAaS services,Mystery,Technical,hard worker,Applications Developer,python
Rylan Perry,other,24,software/technology,yes,hadoop,database security,IOT,cloud computing,product development,Prayer books,Management,smart worker,Applications Developer,hadoop
Adalyn Jenkins,other,25,software/technology,no,hadoop,hacking,IOT,developer,Service Based,Science,Management,smart worker,Applications Developer,hadoop
Zion Collins,other,26,software/technology,no,hadoop,system designing,data engineering,developer,Sales and Marketing,Travel,Technical,smart worker,Applications Developer,hadoop
Emery Gray,other,27,software/technology,yes,full stack,data science,Management,system developer,Testing and Maintainance Services,Health,Technical,hard worker,Applications Developer,full stack
Nolan Long,other,28,software/technology,no,shell programming,system designing,hacking,testing,Finance,Cookbooks,Management,smart worker,Applications Developer,shell programming
Ivy Foster,other,29,software/technology,yes,hadoop,system designing,data engineering,testing,Sales and Marketing,Travel,Management,hard worker,Applications Developer,hadoop
Tristan Powell,other,30,software/technology,no,information security,testing,data engineering,security,SAaS services,Autobiographies,Technical,hard worker,Applications Developer,information security
Olivia Butler,other,31,software/technology,yes,information security,database security,hacking,cloud computing,SAaS services,Autobiographies,Management,hard worker,Applications Developer,information security
Damian Barnes,other,32,software/technology,yes,r programming,data science,cloud computing,security,Web Services,Guide,Technical,hard worker,Applications Developer,programming
Sienna James,other,33,software/technology,no,information security,system designing,hacking,cloud computing,Sales and Marketing,Self help,Management,smart worker,Applications Developer,information security
Jasper Morgan,other,34,software/technology,yes,full stack,hacking,Software Engineering,system developer,SAaS services,Prayer books,Technical,smart worker,Applications Developer,full stack
Eleanor Ross,other,35,software/technology,yes,python,game development,networks,security,Sales and Marketing,Journals,Technical,smart worker,Applications Developer,python
Ezra Reed,other,36,software/technology,no,shell programming,game development,Computer Architecture,testing,Testing and Maintainance Services,Art,Technical,smart worker,Applications Developer,shell programming
Lola Rivera,other,37,software/technology,yes,hadoop,testing,IOT,developer,Cloud Services,Dictionaries,Technical,smart worker,Applications Developer,hadoop
Easton Perry,other,38,software/technology,yes,hadoop,system designing,programming,testing,Product based,Comics,Technical,smart worker,Applications Developer,hadoop
Aurora Jenkins,other,39,software/technology,yes,shell programming,web tech,poor,Management,cloud computing,yes,Anthology,Management,Applications Developer,shell programming
Camden Collins,other,40,software/technology,yes,information security,hacking,Management,security,Testing and Maintainance Services,Series,Technical,hard worker,Applications Developer,information security
Hazel Gray,other,41,software/technology,no,python,database security,Computer Architecture,testing,Sales and Marketing,Horror,Technical,hard worker,Applications Developer,python
Micah Long,other,22,software/technology,no,full stack,cloud computing,cloud computing,cloud computing,Finance,Self help,Technical,hard worker,Applications Developer,full stack
John Smith,Male,21,software/technology,no,hadoop,hacking,data engineering,developer,Sales and Marketing,Fantasy,Management,smart worker,Applications Developer,hadoop
Alice Johnson,Female,20,software/technology,yes,shell programming,system designing,programming,system developer,SAaS services,Travel,Technical,smart worker,Applications Developer,shell programming
Robert Davis,Male,22,software/technology,no,shell programming,web tech,poor,Management,Business process analyst,yes,Trilogy,Management,Applications Developer,shell programming
Emily Wilson,Female,21,software/technology,no,distro making,game development,Management,system developer,SAaS services,Cookbooks,Technical,smart worker,Applications Developer,distro making
Michael Brown,Male,23,software/technology,no,python,cloud computing,Software Engineering,Business process analyst,Testing and Maintainance Services,Science,Management,hard worker,Applications Developer,python
